xb01,xb02,xb03,xb04,xb05,xb06,xb07,xb08,xb09,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xo1,xo2,xo3,xo4,xc1,xc2,xc3,xc4,y11,y12,y21,y22
0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,4,3,8,6,C,B,D,A,-18.798488644146953,-9.181048779851126,8.286320263836004,-4.199182541748311
0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,3,0,7,3,A,B,A,B,20.121114408895576,2.4019945032322303,13.789002333116605,8.644444140622513
0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,2,2,9,5,A,A,B,D,24.394428990716044,59.557031644745166,15.861023382470568,-7.219420406295365
0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,5,2,8,A,B,C,A,-8.629331107246351,-28.770741112081012,5.596286920012073,-3.3193522050863318
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,2,5,9,10,D,D,D,D,-0.7768848147257787,12.950536339962895,11.078581852202923,-24.72558511872814
0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,D,C,D,C,17.288736162953953,-41.971898026498394,7.2274890752374725,-3.6498032610974938
1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,6,0,0,C,C,A,A,-12.401886377185402,8.608364945158156,22.058396497268856,-10.945349280457679
1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2,7,D,B,D,B,14.937384472203565,-12.198471901718847,6.294561423874545,-11.13128212941676
1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,3,0,1,1,C,D,C,D,-22.29293834087613,2.615178111466843,-20.8125265611319,-29.088713801084346
1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,4,7,D,B,D,A,14.067541723102728,-7.040823187534009,-34.822244709813454,-36.395436437281845
1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,4,5,8,A,A,C,B,12.487399082415951,-10.449092850409103,9.180514142317017,-12.225670645418873
1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,4,1,7,8,A,B,D,B,36.4640071204307,-13.652508076501782,4.82805979276687,-14.539692748806411
1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,4,2,0,4,A,A,C,A,15.874994573208793,-22.184717811788946,1.9661715013142746,12.70601534361918
0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,4,4,2,10,A,C,B,A,22.23013719653312,-1.3365015371682336,14.154109720988176,1.1720593319356005
0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,8,4,6,D,B,D,B,-40.94873447030032,-0.4777489991533703,-2.454454509088073,-1.5126829242055706
0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,7,8,D,A,B,D,-10.677227202893338,5.406615915875946,13.396057942974481,18.036446758111538
1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,8,2,2,D,A,D,D,0.3266092633597335,61.92729491893551,-9.889450492029965,-28.15550478091678
1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,5,1,9,C,B,D,B,4.082109819654859,17.87528298823715,18.273352196461694,-34.741936181039975
0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,4,7,9,B,A,C,B,-1.2965431965321281,0.7512745434322712,45.4819427550069,-15.788104386282008
