xb01,xb02,xb03,xb04,xb05,xb06,xb07,xb08,xb09,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xo1,xo2,xo3,xo4,xc1,xc2,xc3,xc4,y11,y12,y21,y22
0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,9,0,13,0,B,D,A,C,-4.026523851474709,7.122395935750255,5.6206005358379745,20.93495517381906
1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,7,0,7,1,C,C,B,C,17.697783719298236,12.062026410101662,5.319508021512821,13.043395971371666
0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,11,0,7,6,C,A,C,D,3.6379433570343713,-8.81686407616471,6.715398176687956,28.601861444105282
1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,3,5,C,B,C,B,14.52411735436861,6.500530816092604,7.055921637766918,5.142368770251827
1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,2,2,7,4,C,D,B,C,20.755599016094365,-1.3018938727549951,12.660013684862253,-0.5696062489433764
0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,3,0,4,5,C,D,A,C,4.22659244555542,-7.1373455843898235,-3.3281032082936965,22.143519740477043
0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,5,4,0,1,D,C,C,D,-7.006227876737119,-5.853149731952116,18.829159094491324,13.012622277925466
0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,10,3,0,3,C,D,C,B,2.9617653709673677,-11.361046716692043,2.5945914049841496,-0.9685249908978437
1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,3,13,6,C,D,B,D,24.182107990799178,-4.488486262660215,3.705037308606869,21.66544446035448
0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3,6,0,A,B,A,C,-1.024423148818883,1.6226723867120172,9.744542684442608,8.978813137906869
