mode,case,algo,best,mean,std,gap_pct,wall_s,n_eval
time,Case1,SA,59.97,59.451,0.411,11.99,3.0,122121
time,Case1,PSO,67.07,66.303,0.69,1.57,3.0,34540
time,Case1,GA,68.138,68.138,0.0,0.0,3.0,47280
time,Case1,BO,56.197,52.303,3.894,17.52,3.02,85
time,Case1,TPE,54.515,53.502,1.014,19.99,3.0,1256
time,Case1,SMAC,42.549,39.669,2.88,37.55,3.01,73
time,Case2,SA,99.271,95.508,2.666,4.57,3.0,105208
time,Case2,PSO,103.125,102.516,0.512,0.86,3.0,32310
time,Case2,GA,104.02,104.02,0.0,0.0,3.0,45120
time,Case2,BO,89.13,88.401,0.729,14.31,3.03,85
time,Case2,TPE,91.352,84.108,7.243,12.18,3.0,1253
time,Case2,SMAC,81.687,80.681,1.006,21.47,3.01,74
time,Case3,SA,64.901,63.393,1.097,12.14,3.0,73488
time,Case3,PSO,69.252,67.781,1.128,6.25,3.0,29500
time,Case3,GA,73.867,73.867,0.0,0.0,3.0,37146
time,Case3,BO,52.799,48.323,4.477,28.52,3.04,83
time,Case3,TPE,55.158,52.839,2.318,25.33,3.0,1223
time,Case3,SMAC,58.784,56.225,2.559,20.42,3.04,75
time,Case4,SA,102.054,100.711,1.042,10.44,3.0,56283
time,Case4,PSO,108.098,107.881,0.232,5.14,3.0,25820
time,Case4,GA,113.954,113.954,0.0,0.0,3.01,33520
time,Case4,BO,100.788,96.99,3.798,11.55,3.03,86
time,Case4,TPE,90.918,87.447,3.471,20.22,3.0,1197
time,Case4,SMAC,97.209,90.305,6.904,14.69,3.02,75
time,Case5,SA,121.973,118.48,2.47,7.26,3.0,46447
time,Case5,PSO,126.341,124.998,1.119,3.94,3.0,23870
time,Case5,GA,131.517,131.517,0.0,0.0,3.01,30026
time,Case5,BO,115.672,108.294,7.378,12.05,3.03,85
time,Case5,TPE,120.115,119.031,1.083,8.67,3.0,1181
time,Case5,SMAC,90.713,87.096,3.617,31.03,3.05,71
time,Case6,SA,121.967,118.783,2.373,6.7,3.0,37276
time,Case6,PSO,125.661,121.626,2.87,3.87,3.0,21040
time,Case6,GA,130.727,130.727,0.0,0.0,3.0,26426
time,Case6,BO,90.857,86.74,4.117,30.5,3.02,84
time,Case6,TPE,92.336,87.524,4.812,29.37,3.0,1181
time,Case6,SMAC,101.675,98.35,3.325,22.22,3.03,68
