xb01,xb02,xb03,xb04,xb05,xb06,xb07,xb08,xb09,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xo1,xo2,xo3,xo4,xc1,xc2,xc3,xc4,y11,y12,y21,y22
0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,12,3,0,C,B,D,D,-10.849287596553339,3.970754294792602,-3.44621973715388,20.367359322850717
0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,8,7,2,2,A,B,A,B,9.717493634935304,0.8687406675753109,6.008752472101374,-64.00401295668793
1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,8,9,4,0,D,B,B,A,14.795725850830724,18.16577448207663,3.13358856586265,16.436029759802395
0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,1,4,3,D,C,B,B,1.8317150313369392,9.437285956784219,-18.558479299614508,11.667946122561768
0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,2,0,3,2,B,D,C,D,18.505943070505623,5.257862274162061,-6.1347460406888015,17.3791012427508
0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,14,2,4,A,D,B,A,27.04211067961571,11.333345660223246,10.514703983964917,26.557721387466515
0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,2,12,2,0,C,D,A,B,10.008413057178615,-20.134135841609933,-12.12944888194767,10.288363202182387
0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,7,10,3,4,C,B,A,D,9.274974822067993,-0.10341372172084284,-7.712129584132466,20.578934149594755
0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,6,5,3,C,B,A,B,4.650243425697113,-17.012679738196436,20.330208010275907,1.822646400499444
0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,5,7,2,1,D,B,B,A,23.75425852512678,3.249158468062956,-17.6758709914131,-0.9646753484638109
1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,6,11,2,4,D,D,A,D,-2.2230263111478497,-6.268029729181071,14.5334573221233,1.6573142591067271
0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,3,0,3,D,D,B,D,7.534673828422344,17.987764918230756,-0.6730538201337697,16.803208517861002
0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,3,5,2,C,B,A,A,15.540991059102392,3.1569999509844586,2.499907369156105,5.788040734387421
1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,5,3,3,D,C,D,D,-5.38974658344328,-10.162421961701577,-5.649930451543527,24.475055818024533
1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,8,3,1,3,D,D,B,B,-9.303650789659736,8.111994004904982,10.822459328515663,-19.120023834513777
1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,8,3,1,1,D,B,C,D,-6.319271580659093,58.858769379866,-28.565602868253386,8.92603019889565
1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,2,10,5,0,D,D,B,D,-16.691806298975578,4.34654154582622,-4.857643628997315,18.031541880304925
1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,13,4,0,D,C,C,D,1.1311921446403468,13.26241362590737,20.887922393960103,-3.1497483258525776
0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,9,9,5,1,D,B,B,C,-3.1729996122183772,10.201401289992443,11.997763060664326,14.231752495752048
1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,D,D,A,D,-1.5944260046643821,3.934018078707636,-10.654819157915345,12.806068263030626
1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,3,13,4,0,A,D,B,D,-9.225939555708717,18.93915195034204,1.7034754496790305,47.65287715446616
0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,9,5,5,1,D,B,C,D,-24.070135979982144,13.42862088311784,-15.23966570085145,3.2161994680840085
0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,5,2,0,2,C,B,A,C,17.2054259848139,-8.964418843705962,-13.824146407991265,0.1353407701158149
0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,2,0,0,D,C,B,C,5.823539264667958,7.898873007802734,6.373839545932537,22.95380667871307
0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,4,2,0,1,B,C,B,D,-6.132633470831185,6.361344880998737,6.843527664192861,10.463969414241951
1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,3,2,5,4,D,C,D,B,-10.637024502160449,-13.02240483090192,21.716237078023465,-8.020489816796339
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,4,1,0,0,B,A,D,D,-12.348680847052036,12.215337117990032,-17.786027124002647,69.19218034077902
0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,6,10,5,1,D,A,B,D,-4.508518853504739,7.863529898355409,10.262866154549735,11.008186500316135
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,6,6,4,4,D,D,B,D,12.809551066067963,17.419732736321016,15.92799814395995,3.429403517046551
0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,9,4,3,D,C,A,C,-7.781065286350685,1.6430757325410967,-0.813302896822564,8.410575812249007
0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,11,1,3,A,B,B,D,6.85783278725119,9.115149289701085,3.4685178713450515,-8.602556182745136
0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,11,1,3,B,A,A,C,-5.5659837568324555,6.875320778049323,1.654372304601666,19.45742346373841
0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,3,2,4,4,A,D,A,B,12.280051105717584,0.9590939958547837,20.46248420393069,-12.894303816906609
1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,6,1,3,0,C,B,B,D,5.381792784262563,6.765374697994643,15.411511331674289,79.11009513299214
1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,3,0,2,1,C,D,D,D,-2.591436523792571,6.601629469148042,-10.404998608675982,16.38332999492232
1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,4,9,3,3,D,B,B,C,-16.780930886471612,-1.3424240916911785,14.731606450549403,-12.583704947511832
0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,10,0,4,D,D,A,B,2.776244279779997,-8.158747539426326,-12.460580707416238,17.385514142406436
0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,2,0,3,4,D,D,A,D,-0.294034911134586,8.78721660883669,14.558861519999406,1.6296535531727798
1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,3,2,B,D,A,D,-0.11553749791711487,3.500991118172806,-10.139450435352169,40.952624647870024
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,2,D,A,A,D,-7.108273303793649,-7.543548850480667,9.096916465195568,54.585753468943906
1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,3,5,4,1,A,B,C,D,5.222785177723823,10.718257576962452,-2.6948081243531488,40.65274140994328
0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,3,4,0,2,B,D,A,D,13.627782007538269,1.2377148462694771,-14.263581811486224,12.12504087559874
0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,8,12,0,4,C,D,B,B,13.6044811137808,5.17753114172531,6.17837482920063,-1.5576933943126812
0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,3,10,0,4,D,A,B,D,11.608036147640655,14.523184713980438,-14.21525023580715,23.95449861353366
0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,9,6,1,2,D,D,B,C,1.7220994789713693,1.246792762180844,-1.9638821943510356,-18.07975725452569
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,3,7,4,4,A,B,C,B,28.545346066880576,3.440852751478408,-6.1617635290077875,6.214276749422513
1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,12,3,0,C,D,B,D,1.8493872221012522,14.38598246310684,-2.914545524664585,13.167709267955283
0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,5,10,0,1,D,D,B,A,14.995486356446369,14.013670486130913,-35.80456161719843,-7.29172514639809
