xb01,xb02,xb03,xb04,xb05,xb06,xb07,xb08,xb09,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xo1,xo2,xo3,xo4,xc1,xc2,xc3,xc4,y11,y12,y21,y22
0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,4,9,3,8,C,D,B,B,0.0916713611985891,6.249820413038,3.1964700925057468,6.018289754030134
1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,6,0,C,C,A,D,5.322321688168639,-11.08521657005808,8.246862627351955,8.361427707555949
0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,10,1,6,C,D,A,D,5.88054925257695,-2.1466922784515505,6.333190656329403,0.28061555090731416
0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,12,6,6,D,C,A,C,4.899099316652594,-2.2769859019000025,4.3283221102136125,9.53704963306492
0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,9,2,1,A,D,B,A,-11.194979470917996,-4.068634466735682,1.7231531962817197,8.909815269883573
1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,10,4,7,C,A,B,A,-10.222378462180043,-5.451995544832282,10.958153740429402,6.5783687193604266
1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,3,7,6,2,D,D,D,A,-5.547530125076782,-12.330181060437718,1.1721156340345107,8.759521720252597
1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,5,9,4,C,A,C,D,0.8633218279726265,-13.366248465295389,14.44303303424109,18.50187452862669
0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,3,9,8,D,D,A,A,-2.6310647947037467,-12.399147690754747,-0.3903670339813543,-3.7685884688567746
0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,7,4,6,A,D,D,A,-10.496526256371542,-7.2995045787722095,6.316037512337219,8.338341685415333
0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,12,4,4,C,D,A,A,0.8007204381774935,-24.54239640303348,10.055097351816306,17.491914715863302
1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,3,11,2,0,D,B,C,C,-10.132268126865103,-20.618561380123985,2.161896709710579,1.7088304081505394
1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,5,10,0,C,A,C,C,-8.53649615740966,-7.935194601804951,-2.340774900898708,11.899796416706018
