mode,case,algo,best,mean,std,gap_pct,wall_s,n_eval
time,Case1,SA,60.791,60.06,0.563,10.78,3.0,153858
time,Case1,PSO,67.246,66.571,0.833,1.31,3.0,47030
time,Case1,GA,68.138,68.138,0.0,0.0,3.0,67200
time,Case1,ACO,68.138,68.138,0.0,0.0,3.0,7766
time,Case1,BO,59.232,57.575,1.656,13.07,3.01,109
time,Case1,TPE,54.515,53.502,1.014,19.99,3.0,1636
time,Case1,SMAC,47.077,41.933,5.145,30.91,3.04,86
time,Case2,SA,99.984,96.936,2.23,3.88,3.0,127675
time,Case2,PSO,103.39,103.09,0.27,0.61,3.0,46170
time,Case2,GA,104.02,104.02,0.0,0.0,3.0,63733
time,Case2,ACO,104.02,104.02,0.0,0.0,3.0,7673
time,Case2,BO,96.239,94.691,1.548,7.48,3.02,109
time,Case2,TPE,91.352,84.108,7.243,12.18,3.0,1678
time,Case2,SMAC,83.289,81.482,1.807,19.93,3.03,85
time,Case3,SA,64.901,63.393,1.097,12.14,3.0,91345
time,Case3,PSO,69.252,68.295,0.898,6.25,3.0,40950
time,Case3,GA,73.867,73.867,0.0,0.0,3.0,52800
time,Case3,ACO,73.867,73.612,0.36,0.0,3.0,7600
time,Case3,BO,59.193,53.553,5.64,19.87,3.02,109
time,Case3,TPE,55.158,52.839,2.318,25.33,3.0,1703
time,Case3,SMAC,59.867,56.916,2.951,18.95,3.02,88
time,Case4,SA,102.054,100.711,1.042,10.44,3.0,69318
time,Case4,PSO,108.205,107.916,0.268,5.04,3.0,35680
time,Case4,GA,113.954,113.954,0.0,0.0,3.0,45653
time,Case4,ACO,113.954,113.954,0.0,0.0,3.0,7246
time,Case4,BO,106.931,106.712,0.219,6.16,3.02,109
time,Case4,TPE,90.918,87.447,3.471,20.22,3.0,1718
time,Case4,SMAC,97.209,92.022,5.187,14.69,3.02,87
time,Case5,SA,121.973,118.48,2.47,7.26,3.0,57513
time,Case5,PSO,126.341,125.113,1.137,3.94,3.0,32390
time,Case5,GA,131.517,131.517,0.0,0.0,3.01,41173
time,Case5,ACO,131.517,131.517,0.0,0.0,3.0,7140
time,Case5,BO,118.306,115.443,2.862,10.05,3.03,109
time,Case5,TPE,120.115,119.031,1.083,8.67,3.0,1695
time,Case5,SMAC,101.533,92.506,9.027,22.8,3.01,89
time,Case6,SA,121.967,118.886,2.266,6.7,3.0,47650
time,Case6,PSO,125.661,124.106,1.599,3.87,3.0,29620
time,Case6,GA,130.727,130.727,0.0,0.0,3.0,36320
time,Case6,ACO,130.727,130.727,0.0,0.0,3.0,7106
time,Case6,BO,107.127,105.402,1.724,18.05,3.01,109
time,Case6,TPE,92.336,87.524,4.812,29.37,3.0,1679
time,Case6,SMAC,107.498,105.125,2.373,17.77,3.02,86
