budget_s,algo,gap_mean,gap_std
0.25,SA,25.054,0.909
0.5,SA,25.05,3.133
1.0,SA,26.205,3.107
2.0,SA,22.799,3.397
0.25,PSO,24.842,2.739
0.5,PSO,19.121,2.325
1.0,PSO,17.691,4.601
2.0,PSO,13.459,1.892
0.25,GA,0.194,0.036
0.5,GA,0.173,0.033
1.0,GA,0.089,0.063
2.0,GA,0.065,0.056
0.25,MemGA,0.165,0.172
0.5,MemGA,0.097,0.087
1.0,MemGA,0.146,0.08
2.0,MemGA,0.095,0.114
0.25,CHC,0.617,0.711
0.5,CHC,0.71,0.77
1.0,CHC,0.02,0.028
2.0,CHC,0.041,0.052
0.25,GOMEA,0.656,0.453
0.5,GOMEA,0.428,0.433
1.0,GOMEA,0.477,0.231
2.0,GOMEA,1.434,1.373
0.25,ACO,58.779,5.604
0.5,ACO,47.474,6.29
1.0,ACO,20.944,2.432
2.0,ACO,3.723,0.84
