budget_s,algo,nmse,rmse_true,n_eval
0.25,SA,2.76968,36.407,3613
0.5,SA,2.39959,33.887,7211
1.0,SA,2.49618,34.562,14631
2.0,SA,2.35901,33.599,29079
5.0,SA,1.26173,24.572,71555
0.25,PSO,21.86354,102.288,1360
0.5,PSO,16.96698,90.109,2650
1.0,PSO,15.90693,87.249,5250
2.0,PSO,13.70415,80.983,10690
5.0,PSO,11.44645,74.012,26900
0.25,GA,3.58147,41.4,1920
0.5,GA,2.72837,36.134,3893
1.0,GA,2.69596,35.919,7813
2.0,GA,2.99411,37.853,15706
5.0,GA,2.9916,37.837,39120
0.25,MemGA,2.3523,33.552,4556
0.5,MemGA,2.35624,33.58,9046
1.0,MemGA,2.35599,33.578,17870
2.0,MemGA,2.34941,33.531,35421
5.0,MemGA,2.34941,33.531,89775
0.25,CHC,3.10652,38.557,2561
0.5,CHC,3.02108,38.023,5608
1.0,CHC,2.97943,37.76,11016
2.0,CHC,2.87525,37.094,21532
5.0,CHC,2.78956,36.537,54048
0.25,GOMEA,2.25699,32.865,2418
0.5,GOMEA,1.77354,29.133,3621
1.0,GOMEA,1.69035,28.442,3761
2.0,GOMEA,1.72669,28.746,7886
5.0,GOMEA,1.77686,29.16,10856
0.25,ACO,41.47869,140.89,180
0.5,ACO,43.62004,144.481,360
1.0,ACO,29.19213,118.195,693
2.0,ACO,9.66207,67.999,1380
5.0,ACO,3.99426,43.72,3453
